,date,region,area,place,日最低気温0℃未満日数(日),日平均気温25℃以上日数(日),日最高気温25℃以上日数(日),最高気温(℃),最深積雪(cm),日最低気温25℃以上日数(日),日照時間(時間),日最低気温の平均(℃),日最高気温の平均(℃),日平均気温0℃未満日数(日),最低気温(℃),日照時間0.1時間未満日数(日),降水量の合計(mm),日最高気温0℃未満日数(日),日降水量の最大(mm),平均気温(℃),降雪量合計(cm)
29,2017-06-01,東北,岩手,雫石,0.0,0.0,7.0,29.5,0.0,0.0,187.1,11.6,21.9,0.0,5.4,3.0,100.5,0.0,26.5,16.7,0.0
30,2017-07-01,東北,岩手,雫石,0.0,4.0,26.0,34.1,0.0,0.0,177.6,18.4,27.9,0.0,12.0,4.0,309.5,0.0,127.5,22.9,0.0
31,2017-08-01,東北,岩手,雫石,0.0,2.0,17.0,31.3,0.0,0.0,88.7,18.0,25.6,0.0,12.8,9.0,214.0,0.0,70.0,21.4,0.0
32,2017-09-01,東北,岩手,雫石,0.0,0.0,5.0,26.7,0.0,0.0,167.7,11.3,22.7,0.0,3.1,2.0,193.0,0.0,67.0,16.9,0.0
33,2017-10-01,東北,岩手,雫石,0.0,0.0,0.0,22.9,0.0,0.0,86.2,6.0,15.9,0.0,0.5,8.0,217.5,0.0,57.0,10.8,0.0
34,2017-11-01,東北,岩手,雫石,16.0,0.0,0.0,19.3,15.0,0.0,98.8,-0.1,8.9,6.0,-10.8,4.0,87.0,0.0,21.0,4.5,37.0
35,2017-12-01,東北,岩手,雫石,31.0,0.0,0.0,6.3,38.0,0.0,70.0,-5.4,1.5,24.0,-14.6,6.0,95.0,8.0,12.0,-1.6,120.0
36,2018-01-01,東北,岩手,雫石,31.0,0.0,0.0,7.2,58.0,0.0,93.5,-7.7,0.7,26.0,-16.4,2.0,73.5,10.0,11.5,-2.8,99.0
37,2018-02-01,東北,岩手,雫石,28.0,0.0,0.0,3.8,107.0,0.0,113.0,-11.1,0.3,28.0,-20.8,1.0,85.0,13.0,35.5,-4.5,168.0
38,2018-03-01,東北,岩手,雫石,27.0,0.0,0.0,19.2,106.0,0.0,170.1,-3.1,8.2,6.0,-12.7,4.0,140.0,0.0,47.0,2.8,45.0
39,2018-04-01,東北,岩手,雫石,3.0,0.0,1.0,25.1,0.0,0.0,154.4,3.4,14.1,0.0,-0.3,7.0,136.0,0.0,27.0,8.7,0.0
40,2018-05-01,東北,岩手,雫石,0.0,0.0,3.0,27.7,0.0,0.0,172.0,8.9,20.1,0.0,4.1,4.0,230.0,0.0,132.0,14.4,0.0
41,2018-06-01,東北,岩手,雫石,0.0,0.0,13.0,31.2,0.0,0.0,152.3,13.4,23.1,0.0,8.4,5.0,153.5,0.0,89.0,18.1,0.0
42,2018-07-01,東北,岩手,雫石,0.0,12.0,24.0,33.6,0.0,0.0,153.4,19.4,28.0,0.0,14.6,9.0,131.5,0.0,44.0,23.5,0.0
43,2018-08-01,東北,岩手,雫石,0.0,7.0,20.0,35.6,0.0,0.0,160.3,17.5,27.2,0.0,10.0,6.0,274.0,0.0,90.5,22.2,0.0
44,2018-09-01,東北,岩手,雫石,0.0,0.0,8.0,28.1,0.0,0.0,118.2,13.7,22.6,0.0,6.3,8.0,206.5,0.0,37.5,17.8,0.0
45,2018-10-01,東北,岩手,雫石,2.0,0.0,0.0,23.4,0.0,0.0,144.4,6.4,18.3,0.0,-0.4,2.0,106.5,0.0,45.5,12.0,0.0
46,2018-11-01,東北,岩手,雫石,17.0,0.0,0.0,17.6,1.0,0.0,126.2,-0.3,11.4,0.0,-5.8,3.0,37.0,0.0,11.0,5.6,2.0
47,2018-12-01,東北,岩手,雫石,29.0,0.0,0.0,14.1,29.0,0.0,117.4,-4.1,3.6,17.0,-11.2,4.0,83.5,6.0,17.0,-0.2,104.0
48,2019-01-01,東北,岩手,雫石,31.0,0.0,0.0,4.7,64.0,0.0,111.8,-7.0,1.0,29.0,-16.2,2.0,52.5,6.0,12.5,-2.4,155.0
49,2019-02-01,東北,岩手,雫石,26.0,0.0,0.0,10.1,53.0,0.0,99.4,-6.2,2.4,19.0,-11.7,1.0,69.5,8.0,25.5,-1.5,120.0
50,2019-03-01,東北,岩手,雫石,24.0,0.0,0.0,17.1,24.0,0.0,144.6,-2.2,7.7,4.0,-6.5,3.0,81.5,0.0,16.5,2.7,64.0
51,2019-04-01,東北,岩手,雫石,16.0,0.0,0.0,22.3,26.0,0.0,177.5,0.2,12.9,2.0,-10.3,3.0,123.5,0.0,19.0,6.9,15.0
52,2019-05-01,東北,岩手,雫石,1.0,0.0,7.0,32.9,0.0,0.0,266.4,8.0,22.3,0.0,-0.5,1.0,116.0,0.0,49.0,15.3,0.0
53,2019-06-01,東北,岩手,雫石,0.0,0.0,11.0,29.1,0.0,0.0,193.1,12.6,23.4,0.0,7.0,4.0,148.5,0.0,38.5,17.9,0.0
54,2019-07-01,東北,岩手,雫石,0.0,7.0,24.0,32.6,0.0,0.0,137.1,18.1,26.8,0.0,11.9,5.0,99.5,0.0,33.0,21.9,0.0
55,2019-08-01,東北,岩手,雫石,0.0,13.0,27.0,35.1,0.0,0.0,155.0,20.2,29.3,0.0,14.6,7.0,143.5,0.0,55.0,24.2,0.0
56,2019-09-01,東北,岩手,雫石,0.0,4.0,11.0,31.8,0.0,0.0,145.9,13.9,24.6,0.0,4.3,5.0,75.0,0.0,27.0,19.0,0.0
57,2019-10-01,東北,岩手,雫石,0.0,0.0,2.0,27.8,0.0,0.0,114.7,7.5,18.3,0.0,0.5,9.0,223.0,0.0,59.0,13.0,0.0
58,2019-11-01,東北,岩手,雫石,16.0,0.0,0.0,17.2,2.0,0.0,118.4,-0.2,9.8,2.0,-6.1,6.0,78.0,0.0,18.0,5.1,2.0
59,2015-01-01,九州,宮崎,都城,11.0,0.0,0.0,16.7,,0.0,191.0,1.0,12.7,0.0,-3.5,3.0,116.0,0.0,28.5,6.6,
60,2015-02-01,九州,宮崎,都城,11.0,0.0,0.0,17.9,,0.0,149.6,1.6,13.0,0.0,-4.5,1.0,104.0,0.0,53.0,6.8,
61,2015-03-01,九州,宮崎,都城,1.0,0.0,0.0,23.6,,0.0,173.9,6.3,17.3,0.0,-1.9,4.0,121.5,0.0,31.5,11.3,
62,2015-04-01,九州,宮崎,都城,0.0,0.0,10.0,27.0,,0.0,118.2,13.3,22.7,0.0,7.6,6.0,172.0,0.0,41.5,17.6,
63,2015-05-01,九州,宮崎,都城,0.0,0.0,17.0,31.7,,0.0,164.4,15.3,25.6,0.0,11.8,4.0,181.0,0.0,34.5,20.1,
64,2015-06-01,九州,宮崎,都城,0.0,1.0,13.0,31.3,,0.0,60.5,18.7,25.0,0.0,14.6,18.0,1094.5,0.0,127.0,21.5,
65,2015-07-01,九州,宮崎,都城,0.0,20.0,27.0,36.4,,2.0,122.6,22.4,29.5,0.0,17.8,8.0,566.5,0.0,109.5,25.3,
66,2015-08-01,九州,宮崎,都城,0.0,25.0,30.0,36.2,,0.0,181.9,23.0,31.8,0.0,20.6,4.0,377.5,0.0,105.5,26.7,
67,2015-09-01,九州,宮崎,都城,0.0,4.0,27.0,31.1,,0.0,145.5,19.7,28.6,0.0,16.1,3.0,160.5,0.0,30.5,23.3,
68,2015-10-01,九州,宮崎,都城,0.0,0.0,22.0,29.9,,0.0,244.5,12.1,25.3,0.0,8.2,1.0,41.0,0.0,13.5,18.1,
69,2015-11-01,九州,宮崎,都城,0.0,0.0,3.0,26.8,,0.0,108.6,12.3,20.9,0.0,3.9,6.0,224.5,0.0,132.0,16.1,
70,2015-12-01,九州,宮崎,都城,4.0,0.0,0.0,21.8,,0.0,153.3,5.1,16.0,0.0,-2.9,3.0,166.5,0.0,72.0,10.0,
71,2016-01-01,九州,宮崎,都城,8.0,0.0,0.0,19.4,,0.0,120.2,2.3,12.0,2.0,-7.2,5.0,105.0,0.0,57.5,6.7,
72,2016-02-01,九州,宮崎,都城,9.0,0.0,0.0,20.6,,0.0,164.9,2.2,13.8,0.0,-2.5,5.0,105.0,0.0,45.0,7.6,
73,2016-03-01,九州,宮崎,都城,2.0,0.0,2.0,26.5,,0.0,191.0,5.7,18.0,0.0,-3.0,5.0,226.5,0.0,81.5,11.4,
74,2016-04-01,九州,宮崎,都城,0.0,0.0,2.0,28.0,,0.0,112.3,12.4,21.5,0.0,5.1,8.0,263.0,0.0,67.5,16.7,
75,2016-05-01,九州,宮崎,都城,0.0,1.0,20.0,31.6,,0.0,161.8,16.2,26.1,0.0,10.2,7.0,335.5,0.0,78.5,20.8,
76,2016-06-01,九州,宮崎,都城,0.0,6.0,24.0,31.3,,0.0,79.5,20.1,27.3,0.0,13.3,9.0,854.5,0.0,150.0,23.2,
77,2016-07-01,九州,宮崎,都城,0.0,30.0,30.0,34.8,,3.0,164.8,23.3,31.9,0.0,20.5,1.0,647.5,0.0,177.0,26.9,
78,2016-08-01,九州,宮崎,都城,0.0,28.0,31.0,36.9,,4.0,222.8,23.7,33.8,0.0,17.7,0.0,117.0,0.0,50.5,27.7,
79,2016-09-01,九州,宮崎,都城,0.0,23.0,30.0,33.2,,0.0,128.5,22.3,30.6,0.0,19.6,1.0,530.5,0.0,156.5,25.6,
80,2016-10-01,九州,宮崎,都城,0.0,6.0,18.0,34.0,,0.0,105.3,18.1,25.9,0.0,11.9,8.0,263.0,0.0,77.0,21.5,
81,2016-11-01,九州,宮崎,都城,0.0,0.0,1.0,25.1,,0.0,166.0,9.5,19.8,0.0,0.7,5.0,113.0,0.0,34.0,14.3,
82,2016-12-01,九州,宮崎,都城,4.0,0.0,0.0,21.0,,0.0,182.3,4.4,16.3,0.0,-2.4,2.0,58.5,0.0,34.5,9.9,
83,2017-01-01,九州,宮崎,都城,13.0,0.0,0.0,19.0,,0.0,189.7,0.8,13.1,0.0,-5.2,1.0,39.5,0.0,15.5,6.4,
84,2017-02-01,九州,宮崎,都城,13.0,0.0,0.0,20.8,,0.0,185.1,0.8,14.3,0.0,-3.9,2.0,50.0,0.0,17.5,7.0,
85,2017-03-01,九州,宮崎,都城,0.0,0.0,0.0,22.3,,0.0,169.2,4.8,15.1,0.0,0.1,8.0,173.5,0.0,43.0,9.5,
86,2017-04-01,九州,宮崎,都城,0.0,0.0,2.0,27.0,,0.0,174.0,11.3,21.8,0.0,1.8,6.0,218.5,0.0,45.5,16.2,
87,2017-05-01,九州,宮崎,都城,0.0,0.0,22.0,33.0,,0.0,198.7,14.8,26.1,0.0,10.4,3.0,180.5,0.0,95.0,20.1,
88,2017-06-01,九州,宮崎,都城,0.0,2.0,24.0,32.3,,0.0,139.9,18.1,27.5,0.0,14.9,8.0,456.0,0.0,136.0,22.3,
89,2017-07-01,九州,宮崎,都城,0.0,31.0,31.0,35.6,,9.0,167.3,24.2,32.5,0.0,21.7,0.0,413.0,0.0,57.5,27.5,
90,2017-08-01,九州,宮崎,都城,0.0,31.0,31.0,36.1,,11.0,202.7,24.4,33.1,0.0,21.6,2.0,320.5,0.0,158.0,28.1,
91,2017-09-01,九州,宮崎,都城,0.0,6.0,24.0,33.4,,0.0,117.9,19.9,28.2,0.0,13.5,7.0,362.5,0.0,102.5,23.6,
92,2017-10-01,九州,宮崎,都城,0.0,0.0,14.0,31.1,,0.0,126.7,16.0,24.5,0.0,7.8,7.0,217.5,0.0,52.0,19.7,
93,2017-11-01,九州,宮崎,都城,1.0,0.0,1.0,25.6,,0.0,132.6,7.7,18.4,0.0,-0.8,7.0,119.5,0.0,31.0,12.7,
94,2017-12-01,九州,宮崎,都城,18.0,0.0,0.0,16.6,,0.0,176.4,0.2,12.2,0.0,-3.6,1.0,17.5,0.0,12.0,5.8,
95,2018-01-01,九州,宮崎,都城,14.0,0.0,0.0,18.8,,0.0,183.5,0.1,11.5,1.0,-5.5,1.0,71.5,0.0,22.0,5.2,
96,2018-02-01,九州,宮崎,都城,13.0,0.0,0.0,18.7,,0.0,156.8,1.4,11.8,1.0,-5.3,5.0,102.0,0.0,27.5,6.0,
97,2018-03-01,九州,宮崎,都城,1.0,0.0,2.0,25.8,,0.0,183.9,6.7,19.1,0.0,-0.2,4.0,146.0,0.0,42.5,12.6,
98,2018-04-01,九州,宮崎,都城,0.0,0.0,11.0,28.8,,0.0,228.6,11.1,23.7,0.0,3.5,4.0,97.5,0.0,43.5,17.1,
99,2018-05-01,九州,宮崎,都城,0.0,1.0,16.0,32.3,,0.0,160.3,15.6,25.5,0.0,6.7,6.0,330.5,0.0,103.0,20.1,
100,2018-06-01,九州,宮崎,都城,0.0,6.0,26.0,32.2,,0.0,119.4,19.6,27.9,0.0,12.6,6.0,451.5,0.0,141.5,23.3,
101,2018-07-01,九州,宮崎,都城,0.0,30.0,31.0,36.0,,3.0,159.4,23.9,32.2,0.0,21.8,3.0,601.5,0.0,180.5,27.3,
102,2018-08-01,九州,宮崎,都城,0.0,29.0,31.0,35.9,,3.0,204.6,23.9,32.6,0.0,20.6,0.0,169.0,0.0,32.5,27.5,
103,2018-09-01,九州,宮崎,都城,0.0,14.0,28.0,33.0,,0.0,115.9,21.3,28.9,0.0,17.2,4.0,593.5,0.0,247.0,24.3,
104,2018-10-01,九州,宮崎,都城,0.0,1.0,11.0,28.6,,0.0,197.1,13.2,24.2,0.0,7.5,3.0,170.0,0.0,113.5,18.2,
105,2018-11-01,九州,宮崎,都城,0.0,0.0,1.0,25.2,,0.0,179.2,8.0,19.7,0.0,2.2,2.0,96.0,0.0,23.5,13.4,
106,2018-12-01,九州,宮崎,都城,4.0,0.0,0.0,23.1,,0.0,113.9,5.6,14.2,0.0,-3.0,10.0,114.0,0.0,26.0,9.6,
107,2019-01-01,九州,宮崎,都城,13.0,0.0,0.0,16.6,,0.0,175.3,1.6,13.7,0.0,-3.2,3.0,33.0,0.0,17.5,7.1,
108,2019-02-01,九州,宮崎,都城,1.0,0.0,0.0,20.0,,0.0,109.1,5.0,14.7,0.0,-2.1,4.0,175.0,0.0,52.5,9.4,
109,2019-03-01,九州,宮崎,都城,0.0,0.0,0.0,23.3,,0.0,187.0,6.5,17.5,0.0,1.0,4.0,172.0,0.0,32.5,11.6,
110,2019-04-01,九州,宮崎,都城,0.0,0.0,10.0,28.4,,0.0,187.5,10.4,22.1,0.0,2.3,4.0,151.0,0.0,54.0,15.9,
111,2019-05-01,九州,宮崎,都城,0.0,0.0,20.0,34.0,,0.0,188.7,14.3,26.0,0.0,8.5,3.0,190.5,0.0,62.5,19.8,
112,2019-06-01,九州,宮崎,都城,0.0,3.0,24.0,31.3,,1.0,112.5,19.1,27.1,0.0,16.1,7.0,332.0,0.0,64.0,22.7,
113,2019-07-01,九州,宮崎,都城,0.0,22.0,29.0,35.3,,2.0,122.8,23.0,30.3,0.0,19.4,8.0,1079.0,0.0,372.0,26.0,
114,2019-08-01,九州,宮崎,都城,0.0,27.0,30.0,34.4,,6.0,135.7,23.8,31.3,0.0,19.5,5.0,365.5,0.0,94.0,27.0,
115,2019-09-01,九州,宮崎,都城,0.0,20.0,28.0,34.0,,1.0,150.6,22.2,30.5,0.0,18.5,1.0,219.5,0.0,82.5,25.6,
116,2019-10-01,九州,宮崎,都城,0.0,1.0,22.0,30.0,,0.0,167.6,17.0,26.2,0.0,9.8,1.0,143.0,0.0,81.0,20.9,
117,2019-11-01,九州,宮崎,都城,0.0,0.0,2.0,25.5,,0.0,187.7,8.8,20.7,0.0,2.7,1.0,56.0,0.0,23.5,14.3,
118,2015-01-01,中国,岡山,千屋,27.0,0.0,0.0,8.4,58.0,0.0,49.9,-2.5,3.7,14.0,-6.9,6.0,208.5,3.0,35.0,0.3,158.0
119,2015-02-01,中国,岡山,千屋,26.0,0.0,0.0,10.7,33.0,0.0,67.1,-2.9,4.7,12.0,-7.6,1.0,83.0,2.0,19.0,0.6,123.0
120,2015-03-01,中国,岡山,千屋,21.0,0.0,0.0,21.9,27.0,0.0,148.7,-1.7,11.0,4.0,-8.3,5.0,137.0,0.0,27.5,4.0,37.0
121,2015-04-01,中国,岡山,千屋,6.0,0.0,2.0,26.4,0.0,0.0,149.6,4.0,17.5,0.0,-3.3,8.0,157.0,0.0,37.5,10.8,0.0
122,2015-05-01,中国,岡山,千屋,0.0,0.0,12.0,30.1,0.0,0.0,208.3,7.7,23.1,0.0,2.9,1.0,80.0,0.0,22.5,15.4,0.0
123,2015-06-01,中国,岡山,千屋,0.0,0.0,11.0,28.2,0.0,0.0,121.9,12.6,23.1,0.0,5.9,5.0,207.5,0.0,49.0,17.8,0.0
124,2015-07-01,中国,岡山,千屋,0.0,2.0,23.0,33.8,0.0,0.0,107.6,18.9,27.0,0.0,13.9,6.0,171.5,0.0,62.5,22.5,0.0
125,2015-08-01,中国,岡山,千屋,0.0,6.0,24.0,34.0,0.0,0.0,160.3,18.1,28.1,0.0,12.7,5.0,218.5,0.0,57.0,22.3,0.0
126,2015-09-01,中国,岡山,千屋,0.0,0.0,1.0,25.7,0.0,0.0,119.0,13.0,22.0,0.0,7.0,5.0,165.0,0.0,46.0,17.0,0.0
127,2015-10-01,中国,岡山,千屋,2.0,0.0,0.0,23.4,0.0,0.0,193.4,4.4,18.7,0.0,-0.9,2.0,62.5,0.0,48.0,11.1,0.0
128,2015-11-01,中国,岡山,千屋,5.0,0.0,0.0,20.1,4.0,0.0,65.1,5.0,14.0,0.0,-2.0,9.0,184.5,0.0,33.0,9.1,4.0
129,2015-12-01,中国,岡山,千屋,21.0,0.0,0.0,13.8,6.0,0.0,72.3,-0.6,8.4,1.0,-5.0,6.0,160.5,0.0,46.5,3.7,13.0
130,2016-01-01,中国,岡山,千屋,29.0,0.0,0.0,14.5,60.0,0.0,54.6,-3.4,4.3,15.0,-10.6,6.0,147.0,3.0,36.0,0.1,130.0
131,2016-02-01,中国,岡山,千屋,26.0,0.0,0.0,13.6,17.0,0.0,82.1,-3.8,5.8,11.0,-10.4,3.0,105.0,0.0,31.5,0.8,60.0
132,2016-03-01,中国,岡山,千屋,17.0,0.0,0.0,19.8,17.0,0.0,151.6,-0.8,11.5,1.0,-5.4,3.0,78.0,0.0,33.0,4.8,14.0
133,2016-04-01,中国,岡山,千屋,7.0,0.0,1.0,25.5,0.0,0.0,160.0,4.2,17.8,0.0,-3.6,7.0,210.0,0.0,52.5,11.0,0.0
134,2016-05-01,中国,岡山,千屋,0.0,0.0,10.0,28.2,0.0,0.0,211.4,8.1,22.4,0.0,1.6,4.0,148.0,0.0,58.0,15.4,0.0
135,2016-06-01,中国,岡山,千屋,0.0,0.0,10.0,29.7,0.0,0.0,103.8,13.9,23.3,0.0,2.8,9.0,287.5,0.0,42.0,18.5,0.0
136,2016-07-01,中国,岡山,千屋,0.0,0.0,28.0,31.3,0.0,0.0,141.0,18.9,28.2,0.0,14.9,3.0,152.5,0.0,24.5,22.9,0.0
137,2016-08-01,中国,岡山,千屋,0.0,0.0,28.0,33.2,0.0,0.0,215.5,17.3,29.5,0.0,11.6,1.0,81.5,0.0,43.5,22.8,0.0
138,2016-09-01,中国,岡山,千屋,0.0,0.0,16.0,29.0,0.0,0.0,71.7,16.9,24.3,0.0,12.4,9.0,349.0,0.0,60.0,20.1,0.0
139,2016-10-01,中国,岡山,千屋,0.0,0.0,2.0,26.8,0.0,0.0,88.5,9.6,19.4,0.0,2.0,5.0,129.0,0.0,30.0,14.2,0.0
140,2016-11-01,中国,岡山,千屋,6.0,0.0,0.0,19.0,0.0,0.0,87.5,2.6,12.7,0.0,-3.1,5.0,93.5,0.0,19.5,7.4,0.0
141,2016-12-01,中国,岡山,千屋,18.0,0.0,0.0,15.6,19.0,0.0,69.2,-0.2,8.4,5.0,-4.6,4.0,197.0,0.0,50.0,3.5,46.0
142,2017-01-01,中国,岡山,千屋,28.0,0.0,0.0,9.5,88.0,0.0,77.4,-3.8,4.2,16.0,-11.3,3.0,182.5,3.0,23.0,0.1,198.0
143,2017-02-01,中国,岡山,千屋,26.0,0.0,0.0,11.8,87.0,0.0,91.8,-3.6,4.5,11.0,-6.9,3.0,158.0,2.0,24.0,0.3,158.0
144,2017-03-01,中国,岡山,千屋,25.0,0.0,0.0,15.7,26.0,0.0,139.4,-1.9,8.8,3.0,-5.1,2.0,122.5,0.0,28.5,2.7,47.0
145,2017-04-01,中国,岡山,千屋,6.0,0.0,1.0,26.2,0.0,0.0,180.9,3.7,17.1,0.0,-3.1,6.0,151.5,0.0,96.5,10.5,0.0
146,2017-05-01,中国,岡山,千屋,0.0,0.0,9.0,30.5,0.0,0.0,207.0,8.4,22.8,0.0,0.2,2.0,70.0,0.0,23.0,15.4,0.0
147,2017-06-01,中国,岡山,千屋,0.0,0.0,10.0,29.3,0.0,0.0,201.2,10.4,23.5,0.0,5.0,2.0,172.5,0.0,66.5,17.0,0.0
148,2017-07-01,中国,岡山,千屋,0.0,2.0,30.0,31.4,0.0,0.0,136.4,19.9,28.8,0.0,16.5,0.0,265.5,0.0,55.0,23.6,0.0
149,2017-08-01,中国,岡山,千屋,0.0,4.0,31.0,32.4,0.0,0.0,171.0,19.0,28.8,0.0,14.0,1.0,162.5,0.0,68.5,23.3,0.0
150,2017-09-01,中国,岡山,千屋,0.0,0.0,8.0,27.2,0.0,0.0,142.0,12.6,23.2,0.0,6.9,7.0,276.5,0.0,100.5,17.6,0.0
151,2017-10-01,中国,岡山,千屋,0.0,0.0,3.0,27.0,0.0,0.0,88.5,9.4,17.9,0.0,1.3,10.0,386.5,0.0,121.5,13.3,0.0
152,2017-11-01,中国,岡山,千屋,15.0,0.0,0.0,20.1,1.0,0.0,108.1,0.8,12.2,0.0,-3.6,3.0,64.0,0.0,19.5,6.2,1.0
153,2017-12-01,中国,岡山,千屋,30.0,0.0,0.0,11.9,16.0,0.0,69.6,-2.6,4.5,10.0,-5.0,2.0,65.0,2.0,8.5,0.6,66.0
154,2018-01-01,中国,岡山,千屋,28.0,0.0,0.0,10.5,30.0,0.0,59.9,-4.4,3.1,18.0,-10.8,6.0,91.0,7.0,16.5,-0.9,127.0
155,2018-02-01,中国,岡山,千屋,28.0,0.0,0.0,13.0,44.0,0.0,110.1,-5.6,4.3,15.0,-13.8,1.0,52.0,5.0,13.5,-1.0,88.0
