,date,veg,region,price
145,2016-05-01,えのきだけ,北陸,206.0
146,2016-06-01,えのきだけ,北陸,203.0
147,2016-07-01,えのきだけ,北陸,203.0
148,2016-08-01,えのきだけ,北陸,190.0
149,2016-09-01,えのきだけ,北陸,233.0
150,2016-10-01,えのきだけ,北陸,262.0
151,2016-11-01,えのきだけ,北陸,314.0
152,2016-12-01,えのきだけ,北陸,328.0
153,2017-01-01,えのきだけ,北陸,272.0
154,2017-02-01,えのきだけ,北陸,244.0
155,2017-03-01,えのきだけ,北陸,183.0
156,2017-04-01,えのきだけ,北陸,152.0
157,2017-05-01,えのきだけ,北陸,181.0
158,2017-06-01,えのきだけ,北陸,169.0
159,2017-07-01,えのきだけ,北陸,185.0
160,2017-08-01,えのきだけ,北陸,170.0
161,2017-09-01,えのきだけ,北陸,250.0
162,2017-10-01,えのきだけ,北陸,232.0
163,2017-11-01,えのきだけ,北陸,281.0
164,2017-12-01,えのきだけ,北陸,342.0
165,2018-01-01,えのきだけ,北陸,372.0
166,2018-02-01,えのきだけ,北陸,369.0
167,2018-03-01,えのきだけ,北陸,215.0
168,2018-04-01,えのきだけ,北陸,155.0
169,2018-05-01,えのきだけ,北陸,163.0
170,2018-06-01,えのきだけ,北陸,170.0
171,2018-07-01,えのきだけ,北陸,210.0
172,2018-08-01,えのきだけ,北陸,218.0
173,2018-09-01,えのきだけ,北陸,294.0
174,2018-10-01,えのきだけ,北陸,262.0
175,2018-11-01,えのきだけ,北陸,273.0
176,2018-12-01,えのきだけ,北陸,247.0
177,2019-01-01,えのきだけ,北陸,265.0
178,2019-02-01,えのきだけ,北陸,223.0
179,2019-03-01,えのきだけ,北陸,161.0
180,2019-04-01,えのきだけ,北陸,197.0
181,2019-05-01,えのきだけ,北陸,210.0
182,2019-06-01,えのきだけ,北陸,170.0
183,2019-07-01,えのきだけ,北陸,201.0
184,2019-08-01,えのきだけ,北陸,200.0
185,2019-09-01,えのきだけ,北陸,215.0
186,2019-10-01,えのきだけ,北陸,220.0
187,2019-11-01,えのきだけ,北陸,255.0
188,2016-01-01,えのきだけ,四国,267.0
189,2016-02-01,えのきだけ,四国,293.0
190,2016-03-01,えのきだけ,四国,227.0
191,2016-04-01,えのきだけ,四国,202.0
192,2016-05-01,えのきだけ,四国,215.0
193,2016-06-01,えのきだけ,四国,206.0
194,2016-07-01,えのきだけ,四国,193.0
195,2016-08-01,えのきだけ,四国,164.0
196,2016-09-01,えのきだけ,四国,237.0
197,2016-10-01,えのきだけ,四国,263.0
198,2016-11-01,えのきだけ,四国,322.0
199,2016-12-01,えのきだけ,四国,331.0
200,2017-01-01,えのきだけ,四国,277.0
201,2017-02-01,えのきだけ,四国,230.0
202,2017-03-01,えのきだけ,四国,170.0
203,2017-04-01,えのきだけ,四国,170.0
204,2017-05-01,えのきだけ,四国,188.0
205,2017-06-01,えのきだけ,四国,179.0
206,2017-07-01,えのきだけ,四国,193.0
207,2017-08-01,えのきだけ,四国,183.0
208,2017-09-01,えのきだけ,四国,244.0
209,2017-10-01,えのきだけ,四国,225.0
210,2017-11-01,えのきだけ,四国,283.0
211,2017-12-01,えのきだけ,四国,357.0
212,2018-01-01,えのきだけ,四国,383.0
213,2018-02-01,えのきだけ,四国,374.0
214,2018-03-01,えのきだけ,四国,213.0
215,2018-04-01,えのきだけ,四国,151.0
216,2018-05-01,えのきだけ,四国,174.0
217,2018-06-01,えのきだけ,四国,187.0
218,2018-07-01,えのきだけ,四国,207.0
219,2018-08-01,えのきだけ,四国,236.0
220,2018-09-01,えのきだけ,四国,316.0
221,2018-10-01,えのきだけ,四国,294.0
222,2018-11-01,えのきだけ,四国,281.0
223,2018-12-01,えのきだけ,四国,266.0
224,2019-01-01,えのきだけ,四国,275.0
225,2019-02-01,えのきだけ,四国,246.0
226,2019-03-01,えのきだけ,四国,204.0
227,2019-04-01,えのきだけ,四国,217.0
228,2019-05-01,えのきだけ,四国,244.0
229,2019-06-01,えのきだけ,四国,219.0
230,2019-07-01,えのきだけ,四国,216.0
231,2019-08-01,えのきだけ,四国,226.0
232,2019-09-01,えのきだけ,四国,268.0
233,2019-10-01,えのきだけ,四国,233.0
234,2019-11-01,えのきだけ,四国,270.0
235,2016-01-01,えのきだけ,東北,213.0
236,2016-02-01,えのきだけ,東北,278.0
237,2016-03-01,えのきだけ,東北,164.0
238,2016-04-01,えのきだけ,東北,153.0
239,2016-05-01,えのきだけ,東北,170.0
240,2016-06-01,えのきだけ,東北,160.0
241,2016-07-01,えのきだけ,東北,150.0
242,2016-08-01,えのきだけ,東北,100.0
243,2016-09-01,えのきだけ,東北,219.0
244,2016-10-01,えのきだけ,東北,248.0
245,2016-11-01,えのきだけ,東北,299.0
246,2016-12-01,えのきだけ,東北,280.0
247,2017-01-01,えのきだけ,東北,205.0
248,2017-02-01,えのきだけ,東北,161.0
249,2017-03-01,えのきだけ,東北,83.0
250,2017-04-01,えのきだけ,東北,121.0
251,2017-05-01,えのきだけ,東北,135.0
252,2017-06-01,えのきだけ,東北,112.0
253,2017-07-01,えのきだけ,東北,110.0
254,2017-08-01,えのきだけ,東北,84.0
255,2017-09-01,えのきだけ,東北,198.0
256,2017-10-01,えのきだけ,東北,164.0
257,2017-11-01,えのきだけ,東北,235.0
258,2017-12-01,えのきだけ,東北,309.0
259,2018-01-01,えのきだけ,東北,330.0
260,2018-02-01,えのきだけ,東北,280.0
261,2018-03-01,えのきだけ,東北,106.0
262,2018-04-01,えのきだけ,東北,77.0
263,2018-05-01,えのきだけ,東北,86.0
264,2018-06-01,えのきだけ,東北,111.0
265,2018-07-01,えのきだけ,東北,145.0
266,2018-08-01,えのきだけ,東北,183.0
267,2018-09-01,えのきだけ,東北,276.0
268,2018-10-01,えのきだけ,東北,237.0
269,2018-11-01,えのきだけ,東北,231.0
270,2018-12-01,えのきだけ,東北,191.0
271,2019-01-01,えのきだけ,東北,229.0
272,2019-02-01,えのきだけ,東北,167.0
273,2019-03-01,えのきだけ,東北,90.0
274,2019-04-01,えのきだけ,東北,174.0
275,2019-05-01,えのきだけ,東北,162.0
276,2019-06-01,えのきだけ,東北,139.0
277,2019-07-01,えのきだけ,東北,168.0
278,2019-08-01,えのきだけ,東北,136.0
279,2019-09-01,えのきだけ,東北,178.0
280,2019-10-01,えのきだけ,東北,177.0
281,2019-11-01,えのきだけ,東北,234.0
282,2016-01-01,えのきだけ,東海,278.0
283,2016-02-01,えのきだけ,東海,286.0
284,2016-03-01,えのきだけ,東海,210.0
285,2016-04-01,えのきだけ,東海,205.0
286,2016-05-01,えのきだけ,東海,221.0
287,2016-06-01,えのきだけ,東海,216.0
288,2016-07-01,えのきだけ,東海,213.0
289,2016-08-01,えのきだけ,東海,191.0
290,2016-09-01,えのきだけ,東海,249.0
291,2016-10-01,えのきだけ,東海,276.0
292,2016-11-01,えのきだけ,東海,317.0
293,2016-12-01,えのきだけ,東海,321.0
294,2017-01-01,えのきだけ,東海,269.0
295,2017-02-01,えのきだけ,東海,225.0
296,2017-03-01,えのきだけ,東海,150.0
297,2017-04-01,えのきだけ,東海,169.0
298,2017-05-01,えのきだけ,東海,193.0
299,2017-06-01,えのきだけ,東海,176.0
300,2017-07-01,えのきだけ,東海,202.0
301,2017-08-01,えのきだけ,東海,196.0
302,2017-09-01,えのきだけ,東海,271.0
303,2017-10-01,えのきだけ,東海,226.0
304,2017-11-01,えのきだけ,東海,295.0
305,2017-12-01,えのきだけ,東海,352.0
306,2018-01-01,えのきだけ,東海,382.0
307,2018-02-01,えのきだけ,東海,369.0
308,2018-03-01,えのきだけ,東海,205.0
309,2018-04-01,えのきだけ,東海,162.0
310,2018-05-01,えのきだけ,東海,173.0
311,2018-06-01,えのきだけ,東海,189.0
312,2018-07-01,えのきだけ,東海,219.0
313,2018-08-01,えのきだけ,東海,254.0
314,2018-09-01,えのきだけ,東海,321.0
315,2018-10-01,えのきだけ,東海,267.0
316,2018-11-01,えのきだけ,東海,276.0
317,2018-12-01,えのきだけ,東海,275.0
318,2019-01-01,えのきだけ,東海,278.0
319,2019-02-01,えのきだけ,東海,228.0
320,2019-03-01,えのきだけ,東海,172.0
321,2019-04-01,えのきだけ,東海,216.0
322,2019-05-01,えのきだけ,東海,213.0
323,2019-06-01,えのきだけ,東海,180.0
324,2019-07-01,えのきだけ,東海,206.0
325,2019-08-01,えのきだけ,東海,219.0
326,2019-09-01,えのきだけ,東海,261.0
327,2019-10-01,えのきだけ,東海,223.0
328,2019-11-01,えのきだけ,東海,279.0
329,2016-01-01,えのきだけ,近畿,285.0
330,2016-02-01,えのきだけ,近畿,295.0
331,2016-03-01,えのきだけ,近畿,213.0
332,2016-04-01,えのきだけ,近畿,203.0
333,2016-05-01,えのきだけ,近畿,220.0
334,2016-06-01,えのきだけ,近畿,217.0
335,2016-07-01,えのきだけ,近畿,208.0
336,2016-08-01,えのきだけ,近畿,178.0
337,2016-09-01,えのきだけ,近畿,246.0
338,2016-10-01,えのきだけ,近畿,274.0
339,2016-11-01,えのきだけ,近畿,319.0
340,2016-12-01,えのきだけ,近畿,308.0
341,2017-01-01,えのきだけ,近畿,269.0
342,2017-02-01,えのきだけ,近畿,227.0
343,2017-03-01,えのきだけ,近畿,151.0
344,2017-04-01,えのきだけ,近畿,163.0
345,2017-05-01,えのきだけ,近畿,174.0
346,2017-06-01,えのきだけ,近畿,165.0
347,2017-07-01,えのきだけ,近畿,184.0
348,2017-08-01,えのきだけ,近畿,178.0
349,2017-09-01,えのきだけ,近畿,261.0
350,2017-10-01,えのきだけ,近畿,221.0
351,2017-11-01,えのきだけ,近畿,289.0
352,2017-12-01,えのきだけ,近畿,355.0
353,2018-01-01,えのきだけ,近畿,365.0
354,2018-02-01,えのきだけ,近畿,350.0
355,2018-03-01,えのきだけ,近畿,187.0
356,2018-04-01,えのきだけ,近畿,143.0
357,2018-05-01,えのきだけ,近畿,150.0
358,2018-06-01,えのきだけ,近畿,170.0
359,2018-07-01,えのきだけ,近畿,201.0
360,2018-08-01,えのきだけ,近畿,227.0
361,2018-09-01,えのきだけ,近畿,298.0
362,2018-10-01,えのきだけ,近畿,271.0
363,2018-11-01,えのきだけ,近畿,275.0
364,2018-12-01,えのきだけ,近畿,270.0
365,2019-01-01,えのきだけ,近畿,284.0
366,2019-02-01,えのきだけ,近畿,224.0
367,2019-03-01,えのきだけ,近畿,164.0
368,2019-04-01,えのきだけ,近畿,209.0
369,2019-05-01,えのきだけ,近畿,211.0
370,2019-06-01,えのきだけ,近畿,173.0
371,2019-07-01,えのきだけ,近畿,201.0
372,2019-08-01,えのきだけ,近畿,215.0
373,2019-09-01,えのきだけ,近畿,259.0
374,2019-10-01,えのきだけ,近畿,220.0
375,2019-11-01,えのきだけ,近畿,280.0
376,2016-01-01,えのきだけ,関東,279.0
377,2016-02-01,えのきだけ,関東,291.0
378,2016-03-01,えのきだけ,関東,204.0
379,2016-04-01,えのきだけ,関東,189.0
380,2016-05-01,えのきだけ,関東,206.0
381,2016-06-01,えのきだけ,関東,201.0
382,2016-07-01,えのきだけ,関東,192.0
383,2016-08-01,えのきだけ,関東,166.0
384,2016-09-01,えのきだけ,関東,234.0
385,2016-10-01,えのきだけ,関東,274.0
386,2016-11-01,えのきだけ,関東,324.0
387,2016-12-01,えのきだけ,関東,317.0
388,2017-01-01,えのきだけ,関東,268.0
389,2017-02-01,えのきだけ,関東,220.0
390,2017-03-01,えのきだけ,関東,142.0
391,2017-04-01,えのきだけ,関東,153.0
392,2017-05-01,えのきだけ,関東,165.0
393,2017-06-01,えのきだけ,関東,155.0
394,2017-07-01,えのきだけ,関東,171.0
395,2017-08-01,えのきだけ,関東,167.0
396,2017-09-01,えのきだけ,関東,257.0
397,2017-10-01,えのきだけ,関東,225.0
398,2017-11-01,えのきだけ,関東,286.0
399,2017-12-01,えのきだけ,関東,345.0
400,2018-01-01,えのきだけ,関東,364.0
401,2018-02-01,えのきだけ,関東,328.0
402,2018-03-01,えのきだけ,関東,178.0
403,2018-04-01,えのきだけ,関東,128.0
404,2018-05-01,えのきだけ,関東,144.0
405,2018-06-01,えのきだけ,関東,170.0
406,2018-07-01,えのきだけ,関東,195.0
407,2018-08-01,えのきだけ,関東,226.0
408,2018-09-01,えのきだけ,関東,298.0
409,2018-10-01,えのきだけ,関東,259.0
410,2018-11-01,えのきだけ,関東,268.0
411,2018-12-01,えのきだけ,関東,234.0
412,2019-01-01,えのきだけ,関東,251.0
413,2019-02-01,えのきだけ,関東,208.0
414,2019-03-01,えのきだけ,関東,144.0
415,2019-04-01,えのきだけ,関東,207.0
416,2019-05-01,えのきだけ,関東,201.0
417,2019-06-01,えのきだけ,関東,169.0
418,2019-07-01,えのきだけ,関東,197.0
419,2019-08-01,えのきだけ,関東,191.0
420,2019-09-01,えのきだけ,関東,239.0
421,2019-10-01,えのきだけ,関東,210.0
422,2019-11-01,えのきだけ,関東,276.0
423,2016-01-01,かぶ,北海道,124.0
424,2016-02-01,かぶ,北海道,157.0
425,2016-03-01,かぶ,北海道,185.0
426,2016-04-01,かぶ,北海道,189.0
427,2016-05-01,かぶ,北海道,150.0
428,2016-06-01,かぶ,北海道,133.0
429,2016-07-01,かぶ,北海道,151.0
430,2016-08-01,かぶ,北海道,137.0
431,2016-09-01,かぶ,北海道,197.0
432,2016-10-01,かぶ,北海道,160.0
433,2016-11-01,かぶ,北海道,154.0
434,2016-12-01,かぶ,北海道,118.0
435,2017-01-01,かぶ,北海道,141.0
436,2017-02-01,かぶ,北海道,151.0
437,2017-03-01,かぶ,北海道,167.0
438,2017-04-01,かぶ,北海道,177.0
439,2017-05-01,かぶ,北海道,147.0
440,2017-06-01,かぶ,北海道,140.0
441,2017-07-01,かぶ,北海道,140.0
442,2017-08-01,かぶ,北海道,176.0
443,2017-09-01,かぶ,北海道,176.0
444,2017-10-01,かぶ,北海道,105.0
445,2017-11-01,かぶ,北海道,116.0
446,2017-12-01,かぶ,北海道,229.0
447,2018-01-01,かぶ,北海道,278.0
448,2018-02-01,かぶ,北海道,286.0
449,2018-03-01,かぶ,北海道,165.0
450,2018-04-01,かぶ,北海道,197.0
451,2018-05-01,かぶ,北海道,145.0
452,2018-06-01,かぶ,北海道,115.0
453,2018-07-01,かぶ,北海道,160.0
454,2018-08-01,かぶ,北海道,159.0
455,2018-09-01,かぶ,北海道,152.0
456,2018-10-01,かぶ,北海道,124.0
457,2018-11-01,かぶ,北海道,117.0
458,2018-12-01,かぶ,北海道,111.0
459,2019-01-01,かぶ,北海道,167.0
460,2019-02-01,かぶ,北海道,167.0
461,2019-03-01,かぶ,北海道,179.0
462,2019-04-01,かぶ,北海道,164.0
463,2019-05-01,かぶ,北海道,121.0
464,2019-06-01,かぶ,北海道,168.0
465,2019-07-01,かぶ,北海道,155.0
466,2019-08-01,かぶ,北海道,150.0
467,2019-09-01,かぶ,北海道,139.0
468,2019-10-01,かぶ,北海道,96.0
469,2019-11-01,かぶ,北海道,127.0
470,2016-01-01,かぶ,北陸,108.0
471,2016-02-01,かぶ,北陸,159.0
472,2016-03-01,かぶ,北陸,191.0
473,2016-04-01,かぶ,北陸,124.0
474,2016-05-01,かぶ,北陸,130.0
475,2016-06-01,かぶ,北陸,193.0
476,2016-07-01,かぶ,北陸,186.0
477,2016-08-01,かぶ,北陸,177.0
478,2016-09-01,かぶ,北陸,233.0
479,2016-10-01,かぶ,北陸,193.0
480,2016-11-01,かぶ,北陸,173.0
481,2016-12-01,かぶ,北陸,175.0
482,2017-01-01,かぶ,北陸,155.0
483,2017-02-01,かぶ,北陸,177.0
484,2017-03-01,かぶ,北陸,170.0
485,2017-04-01,かぶ,北陸,137.0
486,2017-05-01,かぶ,北陸,137.0
487,2017-06-01,かぶ,北陸,174.0
488,2017-07-01,かぶ,北陸,135.0
489,2017-08-01,かぶ,北陸,169.0
490,2017-09-01,かぶ,北陸,204.0
491,2017-10-01,かぶ,北陸,104.0
492,2017-11-01,かぶ,北陸,216.0
493,2017-12-01,かぶ,北陸,241.0
494,2018-01-01,かぶ,北陸,257.0
495,2018-02-01,かぶ,北陸,271.0
496,2018-03-01,かぶ,北陸,182.0
497,2018-04-01,かぶ,北陸,158.0
498,2018-05-01,かぶ,北陸,120.0
499,2018-06-01,かぶ,北陸,175.0
500,2018-07-01,かぶ,北陸,172.0
501,2018-08-01,かぶ,北陸,198.0
502,2018-09-01,かぶ,北陸,220.0
503,2018-10-01,かぶ,北陸,179.0
504,2018-11-01,かぶ,北陸,124.0
505,2018-12-01,かぶ,北陸,117.0
506,2019-01-01,かぶ,北陸,134.0
507,2019-02-01,かぶ,北陸,145.0
508,2019-03-01,かぶ,北陸,157.0
509,2019-04-01,かぶ,北陸,138.0
510,2019-05-01,かぶ,北陸,123.0
511,2019-06-01,かぶ,北陸,163.0
512,2019-07-01,かぶ,北陸,163.0
513,2019-08-01,かぶ,北陸,141.0
514,2019-09-01,かぶ,北陸,179.0
515,2019-10-01,かぶ,北陸,146.0
516,2019-11-01,かぶ,北陸,178.0
517,2016-01-01,かぶ,東北,111.0
518,2016-02-01,かぶ,東北,138.0
519,2016-03-01,かぶ,東北,162.0
520,2016-04-01,かぶ,東北,145.0
521,2016-05-01,かぶ,東北,129.0
522,2016-06-01,かぶ,東北,132.0
523,2016-07-01,かぶ,東北,143.0
524,2016-08-01,かぶ,東北,140.0
525,2016-09-01,かぶ,東北,208.0
526,2016-10-01,かぶ,東北,151.0
527,2016-11-01,かぶ,東北,133.0
528,2016-12-01,かぶ,東北,122.0
529,2017-01-01,かぶ,東北,137.0
530,2017-02-01,かぶ,東北,144.0
531,2017-03-01,かぶ,東北,154.0
532,2017-04-01,かぶ,東北,160.0
533,2017-05-01,かぶ,東北,138.0
534,2017-06-01,かぶ,東北,137.0
535,2017-07-01,かぶ,東北,114.0
536,2017-08-01,かぶ,東北,151.0
537,2017-09-01,かぶ,東北,150.0
538,2017-10-01,かぶ,東北,86.0
539,2017-11-01,かぶ,東北,102.0
540,2017-12-01,かぶ,東北,160.0
541,2018-01-01,かぶ,東北,224.0
542,2018-02-01,かぶ,東北,213.0
543,2018-03-01,かぶ,東北,161.0
544,2018-04-01,かぶ,東北,144.0
545,2018-05-01,かぶ,東北,137.0
546,2018-06-01,かぶ,東北,132.0
547,2018-07-01,かぶ,東北,143.0
548,2018-08-01,かぶ,東北,165.0
549,2018-09-01,かぶ,東北,161.0
550,2018-10-01,かぶ,東北,130.0
551,2018-11-01,かぶ,東北,90.0
552,2018-12-01,かぶ,東北,94.0
553,2019-01-01,かぶ,東北,126.0
554,2019-02-01,かぶ,東北,136.0
555,2019-03-01,かぶ,東北,151.0
556,2019-04-01,かぶ,東北,158.0
557,2019-05-01,かぶ,東北,140.0
558,2019-06-01,かぶ,東北,121.0
559,2019-07-01,かぶ,東北,146.0
560,2019-08-01,かぶ,東北,131.0
561,2019-09-01,かぶ,東北,155.0
562,2019-10-01,かぶ,東北,98.0
563,2019-11-01,かぶ,東北,95.0
564,2016-01-01,かぶ,東海,102.0
565,2016-02-01,かぶ,東海,126.0
566,2016-03-01,かぶ,東海,144.0
567,2016-04-01,かぶ,東海,126.0
568,2016-05-01,かぶ,東海,141.0
569,2016-06-01,かぶ,東海,164.0
570,2016-07-01,かぶ,東海,171.0
571,2016-08-01,かぶ,東海,164.0
572,2016-09-01,かぶ,東海,296.0
573,2016-10-01,かぶ,東海,185.0
574,2016-11-01,かぶ,東海,128.0
575,2016-12-01,かぶ,東海,147.0
576,2017-01-01,かぶ,東海,133.0
577,2017-02-01,かぶ,東海,135.0
578,2017-03-01,かぶ,東海,140.0
579,2017-04-01,かぶ,東海,122.0
580,2017-05-01,かぶ,東海,147.0
581,2017-06-01,かぶ,東海,182.0
582,2017-07-01,かぶ,東海,181.0
583,2017-08-01,かぶ,東海,198.0
584,2017-09-01,かぶ,東海,217.0
585,2017-10-01,かぶ,東海,140.0
586,2017-11-01,かぶ,東海,151.0
587,2017-12-01,かぶ,東海,178.0
588,2018-01-01,かぶ,東海,222.0
589,2018-02-01,かぶ,東海,210.0
590,2018-03-01,かぶ,東海,139.0
591,2018-04-01,かぶ,東海,119.0
592,2018-05-01,かぶ,東海,145.0
593,2018-06-01,かぶ,東海,179.0
594,2018-07-01,かぶ,東海,170.0
595,2018-08-01,かぶ,東海,199.0
596,2018-09-01,かぶ,東海,178.0
597,2018-10-01,かぶ,東海,208.0
598,2018-11-01,かぶ,東海,136.0
599,2018-12-01,かぶ,東海,99.0
600,2019-01-01,かぶ,東海,113.0
601,2019-02-01,かぶ,東海,111.0
602,2019-03-01,かぶ,東海,119.0
603,2019-04-01,かぶ,東海,124.0
604,2019-05-01,かぶ,東海,160.0
605,2019-06-01,かぶ,東海,163.0
606,2019-07-01,かぶ,東海,179.0
607,2019-08-01,かぶ,東海,182.0
608,2019-09-01,かぶ,東海,184.0
609,2019-10-01,かぶ,東海,147.0
610,2019-11-01,かぶ,東海,140.0
611,2016-01-01,かぶ,近畿,110.0
612,2016-02-01,かぶ,近畿,149.0
613,2016-03-01,かぶ,近畿,197.0
